COMMON NAME,SCIENTIFIC NAME,HAWAIIAN ISLANDS,NWHI,SEHI
Hawaiian Hawk,Buteo solitarius,R,,R
Hawaiian Petrel,Pterodroma sandwichensis,B,M,B
Hawaiian Rail,Zapornia sandwichensis,X,,X
Herald Petrel,Pterodroma heraldica,M,M,
Herring Gull,Larus argentatus,W,W,V
Hooded Merganser,Lophodytes cucullatus,V,,V
Horned Grebe,Podiceps auritus,V,,V
Horned Puffin,Fratercula corniculata,V,V,
House Finch,Carpodacus mexicanus,N,n,N
House Sparrow,Passer domesticus,N,n,N
Hudsonian Godwit,Limosa haemastica,V,,V
Hwamei,Garrulax canorus,N,,N
I'iwi,Drepanis coccinea,R,,R
Indian Peafowl,Pavo cristatus,N,,N
Intermediate Egret,Mesophoyx intermedia,V,V,
Island Canary,Serinus canaria,N,N,
Japanese Bush-Warbler,Cettia diphone,N,,N
Japanese Quail,Coturnix japonica,N,,N
Japanese White-eye,Zosterops japonicus,N,n,N
Java Sparrow,Lonchura oryzivora,N,,N
Jouanin's Petrel,Bulweria fallax,V,V,V
Juan Fernandez Petrel,Pterodroma externa,M,M,M
Kakawahie,Paroreomyza flammea,X,,X
Kalij Pheasant,Lophura leucomelanos,N,,N
Kama'o,Myadestes myadestinus,X,,X
Kaua'i 'Akialoa,Akialoa stejnegeri,X,,X
Kaua'i 'Amakihi,Chlorodrepanis stejnegeri,R,,R
Kaua'i 'Elepaio,Chasiempis sclateri,R,,R
Kaua'i Nukupuu,Hemignathus hanapepe,X,,X
Kauai 'O'o,Moho braccatus,X,,X
Kermadec Petrel,Pterodroma neglecta,M,M,M
Killdeer,Charadrius vociferus,V,,V
Kioea,Chaetoptila angustipluma,X,,X
Kona Grosbeak,Chloridops kona,X,,X
Lanai Hookbill,Dysmorodrepanis munroi,X,,X
Laughing Gull,Leucophaeus atricilla,W,V,W
Lavender Waxbill,Estrilda caerulescens,N,,N
Laysan Albatross,Phoebastria immutabilis,B,B,B
Laysan Duck,Anas laysanensis,R,R,
Laysan Finch,Telespiza cantans,R,R,
Laysan Honeycreeper,Himatione fraithii,X,X,
Laysan Rail,Zapornia palmeri,X,X,
